Q,A
용두산 공원 전화번호는 무엇인가요,051-860-7820입니다.
용두산 공원 몇시까지 열어? ,용두산 공원은 매일 오전 10시부터 오후 11시까지 운영합니다. 
용두산 공원 운영 시간 알려줘,용두산 공원은 매일 오전 10시부터 오후 11시까지 운영합니다. 
주변에 관광지 추천해줘,40계단 어때요?
주변에 관광지 추천해줘,비프 광장 어때요?
주변에 관광지 추천해줘,국제시장 어때요?
주변에 관광지 추천해줘,보수동 책방 골목 어때요?
주변에 관광지 추천해줘,자갈치 시장 어때요?
주변에 맛집 추천해줘,18번 완당집 어때요?
주변에 맛집 추천해줘,부산명물횟집 어때요?
주변에 맛집 추천해줘,톤블랙 어때요?
주변에 맛집 추천해줘,광복 경양식 어때요?
주변에 맛집 추천해줘,제일산꼼장어 장어구이 어때요?
40계단은 어디에 있나요?,지하철 중앙동역에서 시작해 국민은행 중앙동지점에서 끝납니다. 
40계단은 길이가 몇미터 인가요?,500미터 입니다.
40계단은 테마거리가 어떤 걸로 구성됐나요?,테마거리는 기찻길과 바닷길을 소재로 각종 이색 볼거리로 채워져 있습니다. 
40계단은 언제 만들어졌나요?,뚜렷하게 밝혀지지 않았지만 1909년과 1912년 사이에 설치됐던 것으로 추정됩니다. 
비프 광장은 어떻게 가나요?,자갈치시장 7번출구 근처에 있습니다. 
비프 광장은 어디에 있나요? ,자갈치시장 7번출구 근처에 있습니다. 
비프 광장은 뭔가요? 뭐하는 곳인가요?,비프 광장은 부산 국제 영화제의 중심무대인 부산시 중구 남포동 충무동의 일원으로 지난 1996년부터 부산국제영화제가 개최되면서 극장가를 새롭게 단장하고 그 일대를 비프광장으로 명명했습니다.
비프 광장은 볼게 뭐가 있나요?,매년 부산 국제 영화제의 수상자의 손을 찍어 새긴 동판이 광장 바닥에 깔려 있어요. 
비프 광장은 극장이 있나요?,국도극장 부산극장 대영시네마 씨네시티 CGV 남포극장 등이 남포동에서 충무동 육교에 이르는 도로변에 위치하고 있습니다.
국제시장은 어디에 있나요?,부산광역시 중구 신창동을 중심으로 퍼져있습니다. 
국제시장은 뭐하는 곳인가요?,국제시장은 우리나라 상품 유통 역사에서 길이 지워질 수 없는 확고한 좌표로 남는 곳입니다. 
국제시장에서 살거 추천해주세요.,국제시장에는 빈티지 옷가게가 많아요
국제시장에 먹을거 추천해주세요,길거리 음식으로 비빔당면 씨앗호떡 충무김밥 등이 있어요!
보수동 책방골목은 어디에 있나요?,국제시장 입구 대청로 사거리 건너 보수동 쪽으로 난 사선 방향의 좁은 골목길에 책방이 모여있습니다.
