1,2,3,4,5
아 진짜! 사무실에서 피지 말라니깐! 간접흡연이 얼마나 안좋은데!,그럼 직접흡연하는 난 얼마나 안좋겠니? 안그래? 보면 꼭... 지 생각만 하고.,손님 왔어요.,아니요. 불후의 명곡은 신관인데 제가 kbs 홀만 가봐서요. 신관이 어딘지 몰라서 물어본 거예요. ,"아, 뮤직뱅크 하는 곳이에요."
그래서... 무슨 일 해?,그냥 방송일 조금. ,방송? 방송 뭐?,"20수, 30수는 새로운 정보네요. 그래도 바지 같은 것들은 통이 크기 때문에 매번 사도 애매한 게 너무 많아요. 참고해서 살게요. 감사해요! ","아, 20수부터가 비침이 없어요."
언제부터 시작할 수 있어?,나? ... 나보고 하라고?,그럼 내가 널 왜 만나러 왔겠어?,다음 주 토요일에 가볼까요? 영화 보고 고속 터미널로 가실래요? ,네. 근처에 영화관 있나요? 
안 내켜.,왜요?,뭔가 말리는 기분이야. 불길해. ,옷 사러 가는데 축제라니 윽 사람 비집고 가야겠네요.,"저도 어제 옷이랑 구두가 목적이었는데 사람이 너무 많아서 고생했거든요. 5, 6시가 절정이에요."
"집 짓는 이유가 그렇게 중요해? 왜, 내가 사기라도 칠까봐?",또. 험악하게. 그런 게 아니라… 왜 집을 짓는지 알아야 어떤 집이 필요한지를 알지. 널 잘 알아야 너한테 맞는 집을 잘 지을 거 아니야? 안그래?,아하~ 그러니까 날 잘 알고 싶다 이거지? 내가 궁금하시다? 뭐가 그렇게 궁금할까? 나 어디? 뭐?,옷 사러 가는데 축제라니 윽 사람 비집고 가야겠네요.,"저도 어제 옷이랑 구두가 목적이었는데 사람이 너무 많아서 고생했거든요. 5, 6시가 절정이에요."
아무거나 막?,아무거나 막.,글쎄... 별루 생각해본 게... 음... 일단. 밝게. 햇빛이 많이 들어오게.,네. 지하철 시원하고 좋네요!,지하철이 버스보다 훨씬 좋아요.
지금 회장님 집 짓니? 왜? 이왕이면 마당에 사슴도 키우지? 아니다. 이참에 아주 청와대를 짓자. 그래서 오바마도 초대해서 만찬도 하고.,아무거나 막 얘기하라며.,아무거나 막 얘기하랬지. 아무 생각 없이 막 얘기하랬니? 이런 울트라 럭셔리면 니가 가진 견적으론 화장실 하나 겨우 짓고 땡이야.,버스 환승이 너무 짜증 나서 진짜 사고 싶은데 그것도 비싸고 비 오고 하는 날은 어떻게 해야 하나 싶기도 해요. 저 운동신경 안 좋아서 분명히 다칠 거예요.,전기자전거도 괜찮아 보이더라고요. 아주머니들 타고 다니시는 거 봤는데 되게 튼튼하고 앞에 바구니도 있어요. 근데 일제라 가격이 엄청 비싸 보이던데요.
아니... 그러니깐. 내 말은 딴 게 아니라... 기준이 뭐냐는 거지? 아버지가 살 집이야? 니가 살 집이야?,아빠 집이 내 집이지. 나도 부지런히 왔다갔다 할거니까.,아니 그래도 누가 살지는 정해야…,홍대 생각 중이에요.,길거리에서 하는 거면 별로 추천하고 싶지 않아요.
 그럼 너한테 예쁘고 좋은 집이 뭔데?,근데 그렇게 물어보면 뭐부터 얘길 해야할지... 잘 모르겠단 말이지. ,작은 거부터.,"지금 추천을 받았는데 팔목, 발목으로 갈렸어요. 그냥 다 해버릴까요?",다 해버려요!
생각해 봤는데... 증축을 하자.,증축?,"이 집을 없애지 말고. 적당히 털고. 그 옆에 새로, 또 적당하게. 증축.",너무 좋죠!!,며칠 동안 있다가 가요?
