나. 완전 인정받았다니까!그거 자랑하려구 불렀냐? 며칠이나 가나 보자. ,곧 끝나길 바랄게요.
야. 뭐야 자꾸 헛갈리나 본데 우린 헤어졌어. 내가 너랑 헤어진 이유는 내가 자신감이 없어서였어.,사람 그렇게 쉽게 죽지 않아요.
자꾸 와서 재결합 하자고 그러니까. 아줌마가 안 나오잖아.그럼. 그만 둔다는 연락도 없이. 며칠 째 안 나오신 거 에요?,양치하고 오세요.
너무 적극적으로 그러시니까. 스토커 같잖아요.죄송합니다. 이번에 만나서 설득 안 되면 포기하겠습니다.,제가 있잖아요.
제가 벌써 갱년기라구요?58년생이시면 충분하신데요.,장단점을 분석해보세요.
당신은 사는 게 즐거워?아! 즐겁다마다요! 이렇게 이쁜 마나님 있어. 능력 있는 딸 있어!! 사위 될 놈이 말썽이긴 하지만 뭐. 잘 되겠지!! 걱정 하면 뭐해요? 즐거운 마음으로 즐겁게 살아야. 인생이 즐겁죠. 그래서 그런가? 난 갈수록 젊어지는 거 같애!!! 여보. 내가 병원 봉사 다니면서 느끼는 건데. 세상에 아프고 고통 받는 사람이 너무 많아요. 너무 불쌍해요.,사랑자격증을 드립니다.
아빠. 늦는다구 엄마한테 전화 해야지.안 돼. 이 시간에 전화했다가 니네 엄마 깨면 나 이혼당해. 요즘 불면증이라 너무 예민해. 아침에 들어가는 게 나아.. 기다리지도 않어.,코가 간질간질한가봐요.
야. 큰일 났어.쉿~~ 조용히 해. 나 지각했어,술 한잔에 그리움이 사무치네요.
나! 이혼 변호사 만나구 왔어.엄마 같은 아줌마들 대한민국에 깔리고 깔렸어 이혼 사유 안 된다구. 그냥 가라 그러지?,필요한 게 뭔지 살펴보세요.
당신 어머니인 줄 몰랐습니다.그러니까. 당장 소송 취하해 주세요.,충전할 곳을 찾아보세요.
예전에. 제 선배들 이혼시킬 때도 그러셨잖아요이미 종료된 일 아닙니까? 그 일을 왜 지금 다시 거론하는 거죠? ,좋아하나봐요.
그럼! 객관적으로 보셨다그랬는데그럼 변호사님한테 저는 뭐에요? 우리 사귀는 사이 아니었어요? 아 사람들한텐 아직도 비밀 커플이죠?제대로 정돈을 못한 건. 제 실숩니다.,길은 항상 막히는 것 같아요.
야. 어머니. 이혼 소장. 오늘 오전에 법원으로 갔다는데. 도대체 어떻게 된 거야? 변호사가 기어이 이혼 시키겠대?하…,친한사이가 아니라면 괜찮지만 친구라면 속상할거예요.
저. 사장님. 저 조퇴 좀 할게요.어딜 또 간다구 그래. 회사루 오라 그래. 니가 나가지 말구.,공부에 흥미를 가져보세요.
엄마가 여기 있는 거. 아빠한테 절대 알리지 말라고 그랬거든엄마는 좀 어때? 위 아프고 잠 안 오고.. 아픈 덴 없대?,오늘 회사 가기 싫은가봐요.
오자마자. 떠나게 돼서 ‘유감’이야. 아버지 잘 부탁해. 변호사 한테도 ‘수고’했다고 전해줘.그렇게 전할게.,작은 일부터 시작해보세요.
하기야 근본이 나쁜 사람은 아니지 근본이 없지.처음 우리 집 왔을 때. 생각나지? 그때 정말 촌스러웠는데,용기를 냈네요.
좀 더 쉬시지 그러세요. 이 기회에 정밀 검사도 받으시구요.집에 가야지. 와이프 죽고 종합 검진 받는 남편들이 제일 꼴불견이야.,킁킁
웬 산부인과? 엄마!! 혹시 늦둥이?? 얼레리 꼴레리~ 이게. 엄마를 놀려..,감기 조심하세요.
엄마~ 시댁 문제는 어느 집이나 다 똑같이 웬수라니까.넌 아무것도 몰라… 관둬. 얘기하기도 창피해.,다음부터는 더 많이 아세요.
