name,location,opentime1,opentime2,closetime1,closetime2,category,menu,closedate1,closedate2,closedate3,시간없음 대충 11-21
칸웨이,강서구,11,0,22,0,중식,,,,,
명지첫집,강서구,11,30,22,0,한식,,,,,
초밥 잘하는 오빠,강서구,11,30,21,0,일식,초밥,0,,,
방코,강서구,11,30,20,30,양식,,0,,,
민물 가든,강서구,11,0,21,0,한식,,0,,,
용장어요리 전문점,강서구,11,0,21,0,한식,장어,,,,V
무심정,금정구,11,0,21,0,한식,,1,,,
농가의 하루,금정구,11,0,20,50,양식,,,,,
해녀 할매집,기장군,9,0,20,0,한식,회,2,,,
탐복,기장군,11,0,20,10,한식,,0,,,
최선장,기장군,10,0,20,30,한식,,0,,,
식당 정약방,기장군,11,0,19,30,한식,,,,,
얼크니 손 칼국수,기장군,11,20,21,30,한식,칼국수,,,,
가마솥 생복집,기장군,11,0,21,0,한식,복국,,,,V
흙시루,기장군,11,0,21,0,한식,,0,,,
일광 대복집,기장군,8,0,21,0,한식,복국,,,,
호포갈비,남구,9,0,21,30,한식,고기,,,,
명품외식 육면정,남구,11,30,22,0,한식,,,,,
드마히니 더블유스퀘어점,남구,11,30,22,0,양식,,0,,,
광명집,남구,11,30,22,0,한식,해물찜,0,,,
해남식당,남구,11,30,22,0,한식,,,,,
한우랑,남구,11,0,21,0,한식,고기,,,,V
오륙도 가원,남구,11,30,22,0,한식,고기,,,,
다이닝센 부산본점,남구,11,30,21,30,양식,,,,,
곤국,남구,11,30,20,0,한식,,5,6,,
초원복국 대연본점,남구,9,0,21,0,한식,복국,,,,
이층집5649,남구,11,0,21,0,양식,돈까스,6,,,
쌍둥이 돼지국밥,남구,9,0,24,0,한식,돼지국밥,,,,
평산옥,동구,10,0,21,0,한식,,5,6,,
미락정,동구,11,0,21,0,한식,,,,,V
고관 해물탕,동구,11,0,22,30,일식,해물탕,,,,
고관 함박,동구,11,0,21,0,일식,고기,,,,
스완양분식,동구,11,30,20,0,일식,돈까스,6,,,
할매 돼지 국밥집,동구,11,0,21,0,한식,,,,,V
신발원,동구,11,0,20,0,중식,중국집,1,,,
칠백장 장인국밥,동래구,10,0,22,0,한식,,,,,
소문난주문진막국수,동래구,11,0,21,30,한식,막국수,,,,
미미참족발,동래구,11,0,21,0,한식,돈까스,,,,V
고가옥,동래구,11,0,20,0,한식,,6,,,
금강만두,동래구,10,30,21,30,한식,,,,,
코모도테이블,동래구,10,30,22,0,양식,,1,,,
원조본가산곰장어집,동래구,11,30,24,30,한식,곰장어,6,,,
정림 전통 한식,동래구,10,0,21,0,한식,,,,,
옹기마을손칼국수,동래구,10,0,22,0,한식,칼국수,6,,,
소문난 동래파전,동래구,10,0,22,0,한식,파전,0,,,
산들바람,동래구,11,0,21,40,한식,해물찜,,,,
봉식당,동래구,12,0,22,0,한식,,,,,
동래별장,동래구,12,0,21,0,한식,,0,1,2,
논두렁 추어탕,동래구,8,0,20,0,한식,추어탕,,,,
내당,동래구,12,0,21,30,한식,,,,,
금문,동래구,11,30,21,30,중식,중국집,,,,
송화루,동래구,11,0,21,30,중식,중국집,,,,
함경면옥,북구,11,0,22,0,한식,막국수,,,,
평창 막국수,북구,10,0,15,0,한식,고기,,,,
식당 3선,북구,10,30,22,0,한식,,,,,
심우촌,북구,6,0,24,0,한식,,,,,
북경의 자전거,북구,11,30,22,0,중식,중국집,,,,
남촌,북구,11,0,21,0,한식,고기,,,,V
권가네 맷돌 순두부,북구,11,0,21,0,한식,,,,,V
풍원장,사상구,11,45,21,0,한식,고기,,,,
돌솟 해물뼈찜,사상구,10,30,22,30,한식,해물찜,0,,,
김밥 & 덮밥,사상구,11,0,21,0,한식,김밥,,,,V
고엔,사상구,11,0,22,0,일식,회,,,,
큰집 코다리찜,사하구,11,0,22,0,한식,코다리찜,,,,
재성밀면,사하구,10,0,21,0,한식,밀면,,,,
영진돼지국밥,사하구,9,30,21,30,한식,돼지국밥,6,,,
양평 칼국수,사하구,11,0,20,30,한식,칼국수,6,,,
대가야,사하구,11,30,22,0,한식,고기,,,,
동원장수촌,사하구,11,30,21,30,한식,,,,,
신흥반점,서구 송도,11,0,21,30,중식,중국집,6,,,
편의방,서구 송도,11,0,21,0,중식,,0,,,
청죽,서구 송도,11,30,22,0,일식,회,,,,
식당 토성동,서구 송도,10,30,20,0,일식,,6,,,
몽실 종가 돼지국밥,서구 송도,9,0,21,0,한식,돼지국밥,,,,
디에이블,서구 송도,11,0,22,0,양식,,,,,
옛날 오막집,서구 송도,12,0,21,30,한식,,0,,,
정을 담은 식탁,수영구 광안리 광안,11,30,20,0,한식,,6,,,
오라,수영구 광안리 광안,11,30,22,0,양식,,0,,,
엄용백 돼지국밥,수영구 광안리 광안,11,0,22,0,한식,돼지국밥,,,,
솔탭 하우스,수영구 광안리 광안,15,0,21,0,양식,,,,,
스스키노,수영구 광안리 광안,11,30,22,0,일식,,,,,
멤버스 라운지,수영구 광안리 광안,11,0,21,0,양식,,,,,V
꽃물 한식당,수영구 광안리 광안,11,30,20,0,한식,,5,6,,
광안국밥,수영구 광안리 광안,11,0,21,0,한식,돼지국밥,,,,V
고향카츠,수영구 광안리 광안,11,30,20,30,일식,돈까스,0,,,
동원 숯불 갈비,연제구 연산,12,0,22,0,한식,,,,,
팔미초밥,연제구 연산,11,30,22,0,일식,회,6,,,
참참부자,연제구 연산,11,30,22,0,일식,회,,,,
옻바다 전복삼계탕,연제구 연산,10,0,22,0,한식,,,,,
웰빙 여행,연제구 연산,10,0,21,30,한식,,5,,,
연산 낙지 해물탕,연제구 연산,11,30,21,30,한식,해물탕,6,,,
북경,연제구 연산,11,0,21,0,중식,중국집,6,,,
국제 밀면,연제구 연산,10,0,20,0,한식,밀면,,,,
가야 할매 밀면,연제구 연산,11,0,20,0,한식,밀면,,,,
함흥보쌈,영도구  영도 남포동 중앙동,11,0,21,0,한식,보쌈,2,,,
영도우,영도구  영도 남포동 중앙동,11,30,21,0,양식,,0,,,
선인장 식당,영도구  영도 남포동 중앙동,11,0,21,0,양식,,0,,,
도날드 즉석 떡볶이,영도구  영도 남포동 중앙동,11,30,20,0,한식,떡볶이,6,,,
석화정,영도구  영도 남포동 중앙동,9,0,21,30,한식,,,,,
고을산채,영도구  영도 남포동 중앙동,11,0,21,0,한식,족발,,,,V
부흥 식당,영도구  영도 남포동 중앙동,11,0,21,0,한식,회,6,,,
원산면옥,중구  남포동 중앙동 ,11,0,21,30,한식,밀면,,,,
홍익돈까스,중구  남포동 중앙동 ,11,30,20,30,일식,돈까스,,,,
이재모 피자,중구  남포동 중앙동 ,11,0,21,30,양식,피자,6,,,
한양 족발,중구  남포동 중앙동 ,10,0,1,0,한식,족발,,,,
부산 명물 횟집,중구  남포동 중앙동 ,11,0,22,0,한식,회,,,,
물꽁 식당,중구  남포동 중앙동 ,9,0,22,0,한식,해물찜,,,,
김해 식당,중구  남포동 중앙동 ,9,30,21,0,한식,,,,,
할매 가야 밀면,중구  남포동 중앙동 ,10,30,21,30,한식,밀면,,,,
소수인,진구 부산진구 서면 전포동,17,0,1,0,일식,회,6,,,
버거샵,진구 부산진구 서면 전포동,11,0,20,30,양식,햄버거,,,,
더브릭하우스,진구 부산진구 서면 전포동,12,0,22,0,양식,,5,6,,
당감밀면,진구 부산진구 서면 전포동,11,0,20,0,한식,밀면,,,,
다옴,진구 부산진구 서면 전포동,11,0,22,0,한식,,,,,
공감식당,진구 부산진구 서면 전포동,11,30,22,0,한식,고기,,,,
개미집 신도시점,해운대구 해운대 동백섬,10,0,22,0,한식,낙곱새,,,,
광어골 왕칼국수,해운대구 해운대 동백섬,11,0,21,0,한식,칼국수,,,,
한우 숯불 양곱창,해운대구 해운대 동백섬,16,0,22,0,한식,곱창,,,,
평안도 족발,해운대구 해운대 동백섬,12,0,24,0,한식,족발,,,,
젠스시,해운대구 해운대 동백섬,18,0,22,0,일식,초밥,1,,,
원조 할매 복국,해운대구 해운대 동백섬,7,0,21,30,한식,복국,,,,
원조 석대 추어탕,해운대구 해운대 동백섬,8,30,21,0,한식,추어탕,1,,,
예이제,해운대구 해운대 동백섬,12,0,22,0,한식,,,,,
문스시,해운대구 해운대 동백섬,11,30,22,0,일식,초밥,,,,
르꽁비브,해운대구 해운대 동백섬,11,30,22,0,양식,,,,,
동백섬 횟집,해운대구 해운대 동백섬,12,0,22,0,한식,회,,,,
다온,해운대구 해운대 동백섬,11,30,22,0,한식,회,0,,,
금수 복국,해운대구 해운대 동백섬,11,0,21,0,한식,복국,,,,V
거대 갈비,해운대구 해운대 동백섬,11,30,22,0,한식,고기,,,,
영변 횟집,해운대구 해운대 동백섬,11,0,21,30,한식,회,,,,
