name,category,location,opentime1,opentime2,closetime1,closetime2,closedate1,closedate2
가덕도,자연,강서구,0,0,24,0,,
가덕도 연대봉,자연,강서구,0,0,24,0,,
렛츠런 파크,문화,강서구,9,30,18,0,0,1
금정산,자연,금정구,0,0,24,0,,
회동 수원지,자연,금정구,0,0,24,0,,
범어사,문화,금정구,0,0,24,0,,
스포원 파크,문화,금정구,0,0,24,0,,
요산문학관,문화,금정구,0,0,24,0,,
국립 달음산 자연휴양림,자연,기장군,0,0,24,0,,
부산 치유의 숲,자연,기장군,0,0,24,0,,
기장 도예 관광 힐링총 테마숲,자연,기장군,,,,,,
죽성 성당,자연,기장군,0,0,24,0,,
아홉산숲,자연,기장군,9,0,17,0,0,
일광 해수욕장,자연,기장군,0,0,24,0,,
임랑 해수욕장,자연,기장군,0,0,24,0,,
기장향교,역사,기장군,0,0,24,0,,
캐비네 드 쁘아송,문화,기장군,9,0,22,0,,
해동 용궁사,문화,기장군,0,0,24,0,,
국립 부산 과학관,문화,기장군,9,30,17,30,0,
장안사,문화,기장군,0,0,24,0,,
이터널 저니,문화,기장군,10,0,21,0,,
국립 수산 과학관,문화,기장군,9,0,18,0,0,
대룡마을,문화,기장군,0,0,24,0,,
오륙도,자연,남구,0,0,24,0,,
오륙도 스카이워크,자연,남구,9,0,18,0,,
황령산 전망쉼터,자연,남구,10,0,23,0,,
신선대,자연,남구,0,0,24,0,,
유엔 기념공원,역사,남구,0,0,24,0,,
우암동 소막마을,역사,남구,0,0,24,0,,
부산 박물관,역사,남구,9,0,18,0,,
국립 일제 강제 동원 역사관,역사,남구,9,30,17,0,0,
조선 통신사 역사관,역사,동구,9,0,18,0,0,
중앙 공원,공원,동구,0,0,24,0,,
문화공감 수정,문화,동구,10,0,17,0,,
초량 1941,문화,동구,11,0,19,0,,
차이나타운,문화,동구,0,0,24,0,,
동래 읍성,역사,동래구,9,0,18,0,0,
복천 박물관,역사,동래구,9,0,18,0,0,
박차정의사 생가,역사,동래구,0,0,24,0,,
동래향교,역사,동래구,0,0,24,0,,
충렬사,역사,동래구,0,0,24,0,,
금강공원,공원,동래구,0,0,24,0,,
사직야구장,문화,동래구,0,0,24,0,,
부산 해양 자연사 박물관,문화,동래구,9,0,18,0,0,
우장춘 기념관,문화,동래구,9,0,18,0,0,
백양산,자연,북구,0,0,24,0,,
화명 수목원,공원,북구,9,0,17,0,,
석불사,문화,북구,0,0,24,0,,
솔로몬로파크,문화,북구,0,0,24,0,,
부산 어촌 민속관,문화,북구,9,0,18,0,0,
삼락 생태 공원,공원,사상구,0,0,24,0,,
부산 도서관,문화,사상구,9,0,18,0,0,6
운수사,문화,사상구,0,0,24,0,,
사상 생활사 박물관,문화,사상구,9,0,18,0,,
다대포 해수욕장,자연,사하구,0,0,24,0,,
아미산 전망대,자연,사하구,9,0,18,0,0,
을숙도 생태공원,자연,사하구,9,0,18,0,0,
낙동강 하구 에코 센터,자연,사하구,9,0,18,0,0,
장림포구,자연,사하구,0,0,24,0,,
승학산 억새평원,자연,사하구,0,0,24,0,,
감천 문화 마을,문화,사하구,9,0,18,0,,
송도 용궁 구름다리,자연,서구 송도,9,0,17,0,,
암남 공원,자연,서구 송도,0,0,24,0,,
송도 구름산책로,자연,서구 송도,6,0,23,0,,
아미동 비석문화마을,역사,서구 송도,0,0,24,0,,
